"Yellow","Blue","Indigo","Sample","Site"
0.999999998,9.9999999949e-10,9.9999999949e-10,"751.bam","Fowey Rocks"
0.999999998,9.9999999952e-10,9.9999999952e-10,"752.bam","Fowey Rocks"
0.974427127594043,0.0255728714059569,9.9999999963e-10,"753.bam","Fowey Rocks"
0.00325865595680774,0.996741343043192,9.9999999951e-10,"754.bam","Fowey Rocks"
9.9999999972e-10,0.999999998,9.9999999972e-10,"755.bam","Fowey Rocks"
0.37803010680892,0.62196989219108,9.999999997e-10,"75.bam","DT.2"
0.999999998,9.9999999964e-10,9.9999999964e-10,"76.bam","DT.2"
0.999999998,9.9999999955e-10,9.9999999955e-10,"77.bam","DT.2"
0.999999998,9.9999999973e-10,9.9999999973e-10,"78.bam","DT.2"
0.999999998,9.999999995e-10,9.999999995e-10,"86.bam","New Grounds Shoal"
0.999999998,9.9999999957e-10,9.9999999957e-10,"88.bam","New Grounds Shoal"
0.999999998,9.9999999952e-10,9.9999999952e-10,"89.bam","New Grounds Shoal"
0.999999998,9.999999995e-10,9.999999995e-10,"96.bam","New Grounds Shoal"
9.9999999924e-10,9.9999999924e-10,0.999999998,"98.bam","New Grounds Shoal"
